,job,education,housing,loan,y

0,yes,no,yes,no,0

1,yes,yes,no,no,0

2,yes,yes,yes,no,1

3,yes,no,no,no,0

4,no,no,yes,no,1

5,yes,no,yes,no,0

6,yes,no,yes,no,0

7,yes,no,yes,no,0

8,yes,yes,no,no,1

9,yes,no,yes,no,0

10,yes,yes,no,no,0

11,yes,yes,yes,no,0

12,yes,yes,no,no,1

13,yes,no,yes,no,0

14,yes,no,no,yes,0

15,yes,no,yes,no,0

16,yes,no,no,no,1

17,yes,yes,no,no,1

18,yes,no,no,no,0

19,no,no,yes,yes,0

20,no,no,yes,no,0

21,yes,yes,no,yes,0

22,yes,yes,yes,no,0

23,yes,yes,no,no,0

24,yes,no,yes,yes,0

25,no,yes,yes,no,0

26,yes,yes,yes,yes,0

27,yes,no,yes,no,0

28,yes,no,yes,no,0

29,yes,no,no,no,0

30,yes,no,no,no,0

31,yes,yes,no,no,0

32,yes,yes,yes,no,0

33,yes,no,yes,no,1

34,yes,no,no,no,0

35,yes,no,no,no,0

36,yes,no,yes,yes,0

37,yes,no,no,no,0

38,yes,no,yes,no,0

39,yes,yes,yes,yes,0

40,yes,no,no,no,0

41,yes,no,yes,no,0

42,yes,no,no,no,0

43,no,no,yes,no,1

44,yes,no,no,no,0

45,yes,no,yes,no,0

46,yes,no,yes,no,0

47,no,no,yes,no,0

48,no,no,yes,no,0

49,yes,no,yes,no,0

50,yes,yes,yes,no,0

51,yes,no,no,no,0

52,yes,no,yes,yes,0

53,yes,no,no,no,0

54,yes,yes,yes,no,0

55,yes,no,no,no,0

56,yes,yes,yes,no,0

57,yes,no,no,yes,0

58,yes,yes,yes,no,0

59,yes,no,yes,no,0

60,yes,yes,no,no,0

61,yes,no,yes,yes,0

62,yes,yes,no,no,1

63,yes,yes,yes,no,0

64,no,no,yes,no,0

65,yes,no,no,no,0

66,yes,yes,yes,no,0

67,yes,yes,yes,no,0

68,no,yes,yes,no,0

69,yes,yes,yes,no,0

70,no,yes,yes,no,0

71,yes,yes,no,no,0

72,no,yes,no,no,0

73,yes,yes,yes,no,0

74,yes,yes,no,no,0

75,yes,yes,no,no,0

76,yes,yes,no,no,0

77,yes,yes,yes,yes,0

78,yes,yes,no,no,0

79,no,yes,yes,no,0

80,yes,yes,yes,no,0

81,yes,yes,yes,no,0

82,yes,yes,no,yes,0

83,yes,yes,yes,no,1

84,yes,no,no,no,0

85,yes,yes,yes,no,0

86,yes,yes,yes,no,0

87,yes,yes,yes,no,0

88,yes,no,yes,no,0

89,yes,no,yes,no,0

90,yes,no,no,no,1

91,yes,no,no,no,0

92,yes,no,no,no,0

93,yes,no,yes,no,0

94,yes,no,yes,no,0

95,yes,no,no,no,0

96,yes,no,yes,no,1

97,yes,no,no,no,0

98,yes,no,yes,yes,0

99,no,yes,yes,yes,0

100,yes,no,yes,yes,1

101,yes,no,no,no,0

102,no,no,no,no,0

103,no,no,no,no,0

104,yes,no,no,no,0

105,yes,yes,no,no,1

106,yes,yes,no,no,0

107,yes,yes,yes,no,0

108,no,yes,yes,no,0

109,no,yes,no,no,0

110,yes,no,no,yes,0

111,no,yes,no,yes,0

112,yes,no,yes,no,0

113,yes,no,no,no,0

114,yes,no,no,no,0

115,yes,yes,yes,no,0

116,yes,no,yes,no,0

117,yes,yes,no,no,1

118,yes,no,yes,no,0

119,yes,no,no,no,0

120,no,no,yes,no,0

121,yes,yes,no,no,0

122,yes,yes,yes,no,0

123,no,no,no,no,0

124,yes,no,yes,no,0

125,yes,no,yes,no,0

126,yes,yes,no,no,0

127,yes,yes,yes,no,0

128,no,no,no,no,0

129,yes,yes,yes,no,0

130,yes,no,no,no,0

131,yes,yes,no,no,0

132,yes,no,no,no,0

133,yes,yes,yes,no,0

134,yes,no,yes,no,0

135,yes,yes,yes,no,0

136,no,yes,yes,no,0

137,yes,yes,no,no,0

138,yes,no,yes,no,0

139,yes,yes,yes,yes,0

140,yes,yes,no,no,0

141,yes,yes,no,no,0

142,no,yes,yes,yes,0

143,yes,yes,yes,no,0

144,yes,no,no,yes,0

145,no,yes,yes,no,0

146,no,no,yes,no,0

147,yes,no,yes,no,0

148,yes,yes,no,yes,0

149,yes,yes,no,no,0

150,yes,no,no,no,0

151,yes,yes,yes,no,0

152,yes,no,yes,no,0

153,yes,no,no,no,0

154,yes,no,no,no,0

155,no,no,yes,yes,0

156,yes,yes,no,no,0

157,yes,yes,no,no,0

158,yes,no,yes,yes,0

159,yes,yes,yes,no,0

160,yes,yes,no,no,0

161,yes,no,yes,no,0

162,yes,yes,yes,no,0

163,no,yes,yes,no,0

164,no,no,yes,no,0

165,yes,no,yes,yes,0

166,yes,no,yes,no,0

167,no,no,yes,no,0

168,no,yes,no,no,1

169,yes,yes,no,no,1

170,yes,no,yes,no,0

171,yes,no,no,no,0

172,yes,no,no,no,0

173,yes,no,no,yes,0

174,yes,no,yes,yes,0

175,yes,yes,no,no,0

176,no,no,no,no,0

177,yes,yes,no,yes,0

178,yes,no,no,no,0

179,yes,yes,no,no,0

180,no,no,yes,yes,1

181,yes,yes,yes,no,1

182,yes,no,no,no,0

183,yes,no,no,yes,0

184,no,no,yes,no,0

185,yes,yes,yes,no,0

186,yes,yes,no,no,0

187,yes,no,yes,no,0

188,yes,no,no,no,0

189,yes,yes,yes,no,0

190,yes,yes,yes,no,0

191,yes,yes,yes,no,0

192,yes,yes,yes,no,0

193,no,yes,no,no,0

194,yes,no,yes,no,0

195,yes,yes,no,no,0

196,yes,yes,yes,no,0

197,yes,yes,yes,no,1

198,yes,yes,yes,no,0

199,yes,yes,yes,no,0

200,no,yes,no,no,0

201,yes,no,yes,no,0

202,yes,yes,yes,no,0

203,no,no,no,no,0

204,yes,yes,yes,no,0

205,yes,no,yes,no,0

206,yes,yes,yes,no,0

207,yes,yes,no,no,0

208,yes,no,yes,yes,0

209,yes,yes,yes,no,0

210,yes,yes,yes,no,0

